token_row_index,token_id,segment_id,text,text_stripped,start_sec,end_sec,duration_sec,is_empty,is_punctuation_like,prev_text,next_text,prev_end_sec,next_start_sec,gap_from_prev_sec,gap_to_next_sec,is_repeat_with_prev,near_30s_boundary,has_diar_overlap,best_overlap_sec,best_overlap_ratio,total_overlap_sec,total_overlap_ratio,best_speaker,best_diar_segment_id,speaker_count_overlapping,gap_from_prev_sec_filled
23045,23045,,,,8778.18,8778.58,0.3999999999996362,True,False,,,8774.7,8778.58,3.4799999999995634,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.4799999999995634
30247,30247,,,,12333.060000000001,12333.54,0.47999999999956344,True,False,,,12329.62,12333.54,3.4400000000005093,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.4400000000005093
21805,21805,,,,8308.06,8308.66,0.6000000000003638,True,False,,,8304.64,8308.66,3.4200000000000728,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.4200000000000728
21972,21972,,,,8368.44,8369.0,0.5599999999994907,True,False,,,8365.02,8369.0,3.4200000000000728,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.4200000000000728
22374,22374,,,,8525.14,8525.9,0.7600000000002183,True,False,,,8521.72,8525.9,3.4200000000000728,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.4200000000000728
22771,22771,,,,8678.300000000001,8678.86,0.5599999999994907,True,False,,,8674.9,8678.86,3.400000000001455,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.400000000001455
17846,17846,,,,6716.660000000001,6717.14,0.47999999999956344,True,False,,,6713.3,6717.14,3.360000000000582,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.360000000000582
37777,37777,,,,14996.880000000001,14997.28,0.3999999999996362,True,False,,,14993.56,14997.28,3.320000000001528,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.320000000001528
5458,5458,,,,1764.84,1765.32,0.4800000000000182,True,False,,,1761.56,1765.32,3.2799999999999727,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.2799999999999727
28592,28592,,,,11766.18,11766.5,0.31999999999970896,True,False,,,11762.94,11766.5,3.2399999999997817,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.2399999999997817
30252,30252,,,,12338.0,12338.48,0.47999999999956344,True,False,,,12334.8,12339.0,3.2000000000007276,0.5200000000004366,False,False,False,0.0,0.0,0.0,0.0,,,0,3.2000000000007276
2787,2787,,,,896.0999999999999,896.54,0.44000000000005457,True,False,,,892.9,896.54,3.199999999999932,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.199999999999932
2961,2961,,,,957.76,958.24,0.4800000000000182,True,False,,,954.58,958.24,3.17999999999995,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.17999999999995
23759,23759,,,,10186.34,10186.74,0.3999999999996362,True,False,,,10183.18,10186.74,3.1599999999998545,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.1599999999998545
27049,27049,,,,11265.46,11265.6,0.1400000000012369,True,False,,,11262.32,11265.6,3.139999999999418,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.139999999999418
22752,22752,,,,8665.56,8666.08,0.5200000000004366,True,False,,,8662.52,8666.08,3.039999999999054,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.039999999999054
7606,7606,,,,2550.66,2551.18,0.5199999999999818,True,False,,,2547.64,2551.18,3.019999999999982,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.019999999999982
23675,23675,,,,9018.82,9019.46,0.6399999999994179,True,False,,,9015.82,9019.46,3.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,3.0
23131,23131,,,,8809.700000000003,8810.160000000002,0.4599999999991269,True,False,,,8806.72,8810.160000000002,2.9800000000032014,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,2.9800000000032014
4427,4427,,,,1444.04,1444.12,0.07999999999992724,True,False,,,1441.06,1444.12,2.980000000000018,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,2.980000000000018
36138,36138,,,,14459.58,14460.02,0.4400000000005093,True,False,,,14456.74,14460.02,2.8400000000001455,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,2.8400000000001455
2884,2884,,,,930.5,930.9,0.39999999999997726,True,False,,,927.66,930.9,2.840000000000032,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,2.840000000000032
18501,18501,,,,6973.179999999999,6973.74,0.5600000000004002,True,False,,,6970.34,6973.74,2.839999999999236,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,2.839999999999236
15263,15263,,,,5847.76,5847.88,0.11999999999989086,True,False,,,5844.94,5847.88,2.8200000000006185,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,2.8200000000006185
